,ticker,tradeDate,PE,PB,PS,PCF
0,000001,2017-10-09,8.4872,1.0132,1.813,-2.31
0,000002,2017-10-09,12.719,2.5941,1.2408,8.2036
0,000004,2017-10-09,63.0699,17.5342,9.5546,55.4191
0,000005,2017-10-09,-149.0486,4.2517,10.8522,-10.3031
0,000006,2017-10-09,14.3585,2.6533,3.0501,9.421
0,000007,2017-10-09,65.3815,14.7423,132.9235,-302.4415
0,000008,2017-10-09,47.9433,4.1653,14.0438,-105.7869
0,000009,2017-10-09,81.8885,4.3504,2.9922,-1315.0001
0,000010,2017-10-09,-137.5579,2.0288,5.7472,6.296
0,000011,2017-10-09,16.3049,4.4308,3.9318,48.7614
0,000012,2017-10-09,27.7297,2.4831,2.0713,9.0657
0,000014,2017-10-09,79.0066,4.608,4.243,5.2061
0,000016,2017-10-09,127.0577,4.9327,0.6255,-4.6446
0,000017,2017-10-09,9317.8314,340.969,34.5457,-1262.8078
0,000018,2017-10-09,25.0348,6.909,2.3565,-13.9756
0,000019,2017-10-09,64.239,6.0881,23.0039,-297.4814
0,000020,2017-10-09,16336.9081,16.8131,7.2235,-188.7655
0,000021,2017-10-09,46.8944,2.5144,0.9275,20.093
0,000022,2017-10-09,30.7965,3.5748,8.653,19.0062
0,000023,2017-10-09,158.8658,8.4663,3.0721,20.8827
0,000025,2017-10-09,381.2678,14.0927,39.5617,314.391
0,000026,2017-10-09,38.0852,2.1526,1.6739,10.1236
0,000027,2017-10-09,28.6453,1.1909,2.0646,9.6908
0,000028,2017-10-09,26.8851,3.2866,0.707,33.4374
0,000029,2017-10-09,35.9843,4.0611,5.6915,4003.4185
0,000030,2017-10-09,15.1423,2.1437,1.769,19.1567
0,000031,2017-10-09,20.1346,2.5296,0.8839,394.4932
0,000032,2017-10-09,116.8878,3.8416,3.1965,41.5054
0,000034,2017-10-09,39.7098,4.9663,0.2572,20.2545
0,000035,2017-10-09,42.8687,4.2523,7.7611,33.8045
0,000036,2017-10-09,5.991,2.8828,2.3958,52.5401
0,000037,2017-10-09,3.9659,2.7688,3.039,7.8506
0,000038,2017-10-09,31.4312,1.9816,6.9109,116.1231
0,000039,2017-10-09,32.0207,1.972,0.9007,74.2256
0,000040,2017-10-09,83.3043,1.8501,3.6014,-12.8713
0,000042,2017-10-09,28.7911,1.8585,1.3776,24.7629
0,000043,2017-10-09,402.7789,1.8108,1.1774,2.4102
0,000045,2017-10-09,-139.0967,2.5241,4.2887,-52.0615
0,000046,2017-10-09,13.6841,2.2494,2.3195,-2.0368
0,000048,2017-10-09,-242.4198,14.0997,6.6337,-25.6532
0,000049,2017-10-09,35.6127,8.6718,1.0188,111.314
0,000050,2017-10-09,43.9579,2.326,2.7622,13.6299
0,000055,2017-10-09,10.6321,4.0097,2.0199,24.2601
0,000056,2017-10-09,93.7145,2.8788,31.8338,-77.3015
0,000058,2017-10-09,204.3942,6.0,17.5799,-110.6224
0,000059,2017-10-09,10.2603,1.5897,0.5601,6.917
0,000060,2017-10-09,35.421,3.0485,1.5431,13.0831
0,000061,2017-10-09,226.9849,3.1248,6.9821,32.1582
0,000062,2017-10-09,39.2611,4.8161,3.0263,124.5818
0,000063,2017-10-09,-68.6074,4.3331,1.1687,-96.5334
0,000065,2017-10-09,23.4806,3.5387,1.2197,5.5607
0,000066,2017-10-09,122.3605,3.9268,0.6526,17.6434
0,000068,2017-10-09,401.3203,11.6015,20.3002,281.5814
0,000069,2017-10-09,9.6595,1.5072,1.7991,-5.4422
0,000070,2017-10-09,36.0337,4.4154,1.6221,73.1715
0,000078,2017-10-09,31.3915,3.1632,1.0559,-9.9416
0,000088,2017-10-09,49.7491,2.8392,54.4998,169.8305
0,000089,2017-10-09,28.8195,1.613,5.6305,16.3256
0,000090,2017-10-09,21.3399,2.0704,1.9012,-15.0365
0,000096,2017-10-09,24.264,3.208,7.4254,413.1524
0,000099,2017-10-09,79.774,2.3693,5.6848,14.3552
0,000100,2017-10-09,22.3788,1.9199,0.4112,4.7332
0,000150,2017-10-09,-141.7485,5.0335,7.312,87.1612
0,000151,2017-10-09,52.528,5.4042,2.4961,32.6349
0,000153,2017-10-09,50.1746,2.6482,1.3749,34.829
0,000155,2017-10-09,20.2263,4.4422,3.3889,-9.6187
0,000156,2017-10-09,34.306,2.0923,6.6331,13.6125
0,000157,2017-10-09,33.9841,0.9461,1.4764,11.0984
0,000158,2017-10-09,42.4658,3.0766,1.7,20.5519
0,000159,2017-10-09,-337.0462,1.5326,7.5342,2427.9438
0,000166,2017-10-09,21.9484,2.2361,7.9996,-2.8626
0,000301,2017-10-09,33.2141,1.9099,6.946,6.1031
0,000333,2017-10-09,18.9364,4.5687,1.465,9.3331
0,000338,2017-10-09,14.9797,1.8426,0.4898,5.4989
0,000400,2017-10-09,18.1644,2.3473,1.6765,26.5676
0,000401,2017-10-09,25.3134,2.2363,1.6167,11.0489
0,000402,2017-10-09,11.7839,1.3242,1.5465,2.2994
0,000403,2017-10-09,145.5218,13.653,13.4854,-735.3021
0,000404,2017-10-09,21.5661,1.7133,0.6961,-31.39
0,000407,2017-10-09,-26.4419,3.292,2.2862,41.2441
0,000408,2017-10-09,39.6169,6.1769,13.8692,-363.2857
0,000409,2017-10-09,-14.066,4.3644,2.1536,-20.6209
0,000410,2017-10-09,-4.6877,41.8645,1.2773,-10.1112
0,000411,2017-10-09,51.6026,5.7409,0.2534,-46.2752
0,000413,2017-10-09,42.4594,2.5087,6.5196,-43.253
0,000415,2017-10-09,16.075,1.3323,1.2856,2.4632
0,000416,2017-10-09,122.382,4.8756,19.0215,-18.7498
0,000417,2017-10-09,26.5936,2.021,0.7362,13.9745
0,000418,2017-10-09,22.3365,4.7479,1.5653,13.7956
0,000419,2017-10-09,35.5145,1.8858,0.9687,113.9813
0,000420,2017-10-09,84.8837,2.529,3.8439,-324.346
0,000421,2017-10-09,28.6738,1.6844,1.0893,2.8724
0,000422,2017-10-09,-4.5617,1.1126,0.408,1.3873
0,000423,2017-10-09,22.4578,4.9943,6.5729,45.8643
0,000425,2017-10-09,41.4778,1.2533,1.13,7.7684
0,000426,2017-10-09,76.968,4.2273,14.8939,31.536
0,000428,2017-10-09,-16.6114,1.7699,5.1769,30.3636
0,000429,2017-10-09,12.8778,2.1273,6.0975,8.8771
0,000430,2017-10-09,64.7637,6.1318,7.2448,25.7517
0,000488,2017-10-09,13.1889,2.4119,1.4532,51.323
0,000498,2017-10-09,16.7204,2.5091,0.8928,8.495
0,000501,2017-10-09,12.371,2.1382,0.7821,9.4128
0,000502,2017-10-09,132.6161,12.4392,7.1814,15.3254
0,000503,2017-10-09,6040.5932,16.8464,112.6896,160.3991
0,000504,2017-10-09,273.9698,-902.8574,80.2239,1904.43
0,000505,2017-10-09,34.1341,57.1832,3.8774,175.3789
0,000506,2017-10-09,-62.6624,6.0772,11.542,-71.0566
0,000507,2017-10-09,61.7957,2.9792,4.5518,27.0611
0,000509,2017-10-09,-87.6973,199.4678,6.5999,-233.5507
0,000510,2017-10-09,71.4717,7.3147,3.6084,23.5195
0,000511,2017-10-09,-12.4106,5.7465,3.5816,-317.3117
0,000513,2017-10-09,33.9315,4.3509,3.6643,21.0308
0,000514,2017-10-09,39.469,2.1855,7.0319,9.8574
0,000516,2017-10-09,53.032,2.8118,2.5476,25.7021
0,000517,2017-10-09,22.6347,3.2789,2.7921,138.1113
0,000518,2017-10-09,267.5101,11.896,19.4056,-24.287
0,000519,2017-10-09,145.0373,2.1129,3.9256,24.1395
0,000520,2017-10-09,120.0726,18.6828,6.8232,101.5823
0,000521,2017-10-09,30.5171,1.2059,0.4354,10.3249
0,000523,2017-10-09,112.9622,2.7802,0.4651,-6.1738
0,000524,2017-10-09,224.7839,3.6161,16.4016,27.6112
0,000525,2017-10-09,30.6505,2.517,3.381,37.4466
0,000526,2017-10-09,257.7098,23.8649,1.2565,9.1975
0,000528,2017-10-09,36.8631,1.1301,1.1552,7.0155
0,000529,2017-10-09,42.7953,3.811,2.3289,26.935
0,000530,2017-10-09,30.8528,1.9227,3.2618,-60.5978
0,000531,2017-10-09,13.219,1.5573,1.9154,8.761
0,000532,2017-10-09,143.3027,6.6891,12.8707,46.8875
0,000533,2017-10-09,34.8588,4.4563,1.5669,53.7312
0,000534,2017-10-09,-1500.7843,5.3289,21.1821,18.52
0,000536,2017-10-09,237.0077,1.2678,3.5356,-13.6439
0,000537,2017-10-09,24.9195,3.0558,1.5078,-1.7294
0,000538,2017-10-09,30.5644,5.4742,3.9573,52.3894
0,000539,2017-10-09,83.9992,1.1885,1.1058,4.9146
0,000540,2017-10-09,12.8909,2.2295,1.8347,-12.2616
0,000541,2017-10-09,10.5942,2.4617,3.1885,-354.2698
0,000543,2017-10-09,31.6445,0.9499,0.8494,7.7843
0,000544,2017-10-09,32.2124,2.0943,11.6474,21.9673
0,000545,2017-10-09,33.4419,3.1724,3.8465,143.8348
0,000546,2017-10-09,34.4316,5.3966,4.6488,51.5894
0,000547,2017-10-09,64.4983,3.2222,7.864,94.1853
0,000548,2017-10-09,28.8477,2.3679,4.0612,-41.6448
0,000550,2017-10-09,16.2592,1.525,0.6023,7.0077
0,000551,2017-10-09,62.2669,2.2982,1.532,22.8431
0,000552,2017-10-09,21.7949,1.392,2.6587,18.6958
0,000553,2017-10-09,435.3071,15.5876,14.6486,76.5603
0,000554,2017-10-09,1240.9296,5.2707,1.7406,46.3118
0,000555,2017-10-09,63.3376,3.4396,1.9799,-40.8314
0,000557,2017-10-09,90.2558,2.0988,14.1793,59.3123
0,000558,2017-10-09,510.7198,6.4678,2.426,220.6065
0,000559,2017-10-09,42.6997,7.379,3.0816,26.7225
0,000560,2017-10-09,186.5108,3.3856,8.6096,107.8024
0,000561,2017-10-09,98.577,5.8437,5.8249,-692.238
0,000563,2017-10-09,32.8355,2.1219,16.8865,14.8749
0,000564,2017-10-09,55.545,1.3005,2.2125,15.7515
0,000565,2017-10-09,17.5771,4.0317,1.1205,21.1259
0,000566,2017-10-09,106.3204,3.2537,11.387,-978.6855
0,000567,2017-10-09,119.1554,18.4876,36.6846,-3.4743
0,000568,2017-10-09,36.0696,7.4105,9.0396,34.861
0,000570,2017-10-09,59.8123,1.7439,1.6558,87.7275
0,000571,2017-10-09,132.3907,2.6772,6.244,27.9052
0,000572,2017-10-09,121.4295,1.2914,0.7581,-6.6154
0,000573,2017-10-09,15.0876,2.1974,3.7211,14.5292
0,000576,2017-10-09,63.3705,5.8043,10.442,-93.6588
0,000581,2017-10-09,12.2572,1.8505,3.2351,36.6996
0,000582,2017-10-09,30.4677,2.2628,4.7605,14.4799
0,000584,2017-10-09,-27.073,5.8561,9.9767,105.4504
0,000585,2017-10-09,-43.2314,25.1718,98.5295,155.7228
0,000586,2017-10-09,3006.898,16.7178,8.6929,-95.2007
0,000587,2017-10-09,17.9871,1.8706,1.7588,13.155
